12
SSN               HOURLY_PAY_RATE   MINUTES_WORKED    SALARY            
123-45-6789       8.50              9600              1360.00           
231-47-2456       10.00             10000             1666.67           
156-67-9023       20.50             8050              2750.42           
123-45-6789       8.50              9600              1360.00           
231-47-2456       10.00             10000             1666.67           
156-67-9023       20.50             8050              2750.42           
123-45-6789       8.50              9600              1360.00           
231-47-2456       10.00             10000             1666.67           
156-67-9023       20.50             8050              2750.42           
123-45-6789       8.50              9600              1360.00           
231-47-2456       10.00             10000             1666.67           
156-67-9023       20.50             8050              2750.42           
